"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalization"
"CDK6",540.421655360793,-0.371501565981795,0.147064342185729,-2.52611585147283,0.0115331442010684,0.218769525251632,"RUVseq"
"SPIB",18.9947969949338,0.769676748300206,0.358691230507445,2.14579193143733,0.0318895826613148,0.282645465721482,"RUVseq"
"PFKFB3",698.237679573482,-0.578441708307345,0.185963472408907,-3.1105125152505,0.00186762981180846,0.142117371807247,"RUVseq"
"KIR2DL3",35.2882846404783,0.897225781444274,0.419756955594326,2.13748877650856,0.0325582576201348,0.282645465721482,"RUVseq"
"GLUD1",1392.84554177705,-0.279552117940924,0.125422308246538,-2.22888672556894,0.0258214425660294,0.282645465721482,"RUVseq"
"LAMC2",54.6676284540116,0.620386901273628,0.291824678129432,2.12588909632403,0.0335124949960372,0.282645465721482,"RUVseq"
"HLA-DOB",19.1517964730461,1.12628209470824,0.314292702789938,3.58354516255189,0.000338962124201106,0.0460880511866319,"RUVseq"
"ANGPTL4",484.917090040394,-0.99080567426269,0.36845876620291,-2.68905442113176,0.00716547364626743,0.170074624486406,"RUVseq"
"TNF",34.6826106051495,0.752711153467377,0.304709437068216,2.47025875112252,0.0135015353186992,0.230026274809649,"RUVseq"
"LTB",38.1415540929425,0.66810768387689,0.288388039633464,2.31669692240372,0.0205202473461455,0.282645465721482,"RUVseq"
"NEIL1",478.15566132169,-0.363365006480368,0.162847844704362,-2.23131603086322,0.0256602025312149,0.282645465721482,"RUVseq"
"KSHV_K6",52.2252950553398,-1.38955787383658,0.559801402720082,-2.48223364051019,0.0130561637662469,0.230026274809649,"RUVseq"
"PIK3R1",262.076006635045,-0.312798556112907,0.147337128794827,-2.12301243190705,0.033752810112532,0.282645465721482,"RUVseq"
"CD45RB",222.403196384701,0.750458521610747,0.221139637974945,3.39359568679303,0.00068981454586104,0.0795257626442656,"RUVseq"
"KLRB1",43.8868964021948,0.691750248900235,0.346475094095816,1.99653672280679,0.0458755326728422,0.311105503083896,"RUVseq"
"ICAM3",91.0176684272336,0.319847409198961,0.156762050284106,2.04033698601982,0.0413167734001914,0.302334596723082,"RUVseq"
"CCR5",407.263381202103,0.467755704249057,0.204903130480344,2.28281385039126,0.0224413357616995,0.282645465721482,"RUVseq"
"CD8B",216.21170225685,0.647087571310183,0.22486352446519,2.8776902472253,0.00400598275738726,0.153944194533882,"RUVseq"
"KIR3DL1",27.2042465735905,0.753409785761467,0.347635917561975,2.16723804331051,0.0302167079631896,0.282645465721482,"RUVseq"
"TLR7",102.815553722417,0.432887995145306,0.194003515359644,2.23134098546007,0.0256585507516363,0.282645465721482,"RUVseq"
"COL11A2",35.3985136413755,0.822404143129999,0.314887714791045,2.61173778620018,0.00900833174986314,0.19023971987734,"RUVseq"
"SIGLEC8",31.7529986326694,0.516810151615199,0.257148960306669,2.0097695553537,0.0444555844135739,0.308065925410589,"RUVseq"
"CD3G",57.802507635749,0.596067234114362,0.252581914907132,2.35989672630965,0.018280023205326,0.282645465721482,"RUVseq"
"S100A8",942.439874024284,1.54414036853281,0.718719842559519,2.1484593538336,0.0316772820293524,0.282645465721482,"RUVseq"
"S100A12",93.701021506396,1.38350119045195,0.627751264204543,2.20390028557738,0.0275313574746425,0.282645465721482,"RUVseq"
"TNFSF8",74.2381474276665,0.487136646237785,0.228040833287113,2.13618166192394,0.0326646095729793,0.282645465721482,"RUVseq"
"COL11A1",285.209438760607,1.03896974521682,0.458458972653222,2.2662218588591,0.0234378029403596,0.282645465721482,"RUVseq"
"BNIP3",93.0368701407564,1.07557526996163,0.433521580937729,2.48101897865179,0.0131007397576827,0.230026274809649,"RUVseq"
"PIAS4",422.975892094889,-0.249366441258603,0.118560251828552,-2.10328872798961,0.0354405381832562,0.282645465721482,"RUVseq"
"HLA-DRA",9811.81122159417,0.637685785610274,0.216757614223535,2.94193026572367,0.00326173368664084,0.142117371807247,"RUVseq"
"RELN",146.640377855863,-0.643430399696613,0.290681690130816,-2.21352228758216,0.0268616584024314,0.282645465721482,"RUVseq"
"CD3E",89.3705254671517,0.740571707649444,0.251666281655742,2.94267353885127,0.00325391354896697,0.142117371807247,"RUVseq"
"WNT2",28.0500329060647,0.62017989577471,0.285110180105342,2.17522887308186,0.0296129695285593,0.282645465721482,"RUVseq"
"HMGA1",1508.27103584363,-0.458894269467646,0.23274722496483,-1.97164228074895,0.0486504569678978,0.314087350184748,"RUVseq"
"JAK1",2618.41161009964,-0.339184410652811,0.171813342564607,-1.97414476425349,0.0483652845717741,0.314087350184748,"RUVseq"
"LILRA1",71.7895025143065,0.518223153123971,0.251316169531468,2.06203665323286,0.0392042465022436,0.292942841919543,"RUVseq"
"CXCR3",352.079278116931,0.653033097907006,0.264867418324927,2.46550935572565,0.0136818602117263,0.230026274809649,"RUVseq"
"SH2D1A",86.1568577794862,0.719078216743377,0.266837715379874,2.69481477054204,0.00704277703138375,0.170074624486406,"RUVseq"
"CCR4",36.3212104689529,0.991020168432513,0.276766403155339,3.58070978678827,0.000342662090606928,0.0460880511866319,"RUVseq"
"VTCN1",18.0469751969398,-0.813262888195527,0.378363741544754,-2.14942077926178,0.0316010597281851,0.282645465721482,"RUVseq"
"TRAF1",65.6616559318512,0.535233461275739,0.198335284954994,2.69862955246311,0.00696256319520099,0.170074624486406,"RUVseq"
"LCK",43.601084792249,0.596319903639039,0.26269111898045,2.27004211620652,0.0232050278106748,0.282645465721482,"RUVseq"
"NRAS",394.891361014865,-0.473490750828324,0.159179763053598,-2.974566249787,0.00293403092374944,0.142117371807247,"RUVseq"
"CLEC4E",37.6834264870171,1.0748152509177,0.415141309684672,2.58903468733115,0.00962453989558521,0.194175092393432,"RUVseq"
"POS_C",2112.29914990976,0.940013831658013,0.461322764141583,2.03764891898878,0.0415850560548477,0.302334596723082,"RUVseq"
"POS_A",21278.3002453391,1.17233275878795,0.482542804029284,2.42948967220906,0.0151200956900871,0.249018718814292,"RUVseq"
"POS_B",7273.45251535369,1.10249297271971,0.476546051454698,2.313507727856,0.0206947403726395,0.282645465721482,"RUVseq"
"POS_E",68.2130312108376,0.796489068870445,0.403915243462209,1.97192129230688,0.0486185922251001,0.314087350184748,"RUVseq"
"NEG_B",13.1572901849341,1.14810188365888,0.425579580715052,2.69773724042367,0.0069812520608501,0.170074624486406,"RUVseq"
"PUM1",542.937512981411,-0.341004469606746,0.162719652233973,-2.09565633237968,0.0361126881724013,0.282645465721482,"RUVseq"
"SF3A1",829.902559340125,-0.317982368486934,0.13842472647368,-2.2971500582838,0.0216102109719363,0.282645465721482,"RUVseq"
"TBP",472.478933810786,-0.19803049923632,0.094654109434813,-2.09214898770666,0.0364251901301538,0.282645465721482,"RUVseq"
"ERCC3",510.061453258277,-0.309933536888231,0.121312319345498,-2.5548397603836,0.0106236692053792,0.20910490362783,"RUVseq"
"KSHV_vIRF-2",39.1231187247883,-1.49105831549017,0.563457047429563,-2.64626793167684,0.00813853262662317,0.729755092187211,"nCounter"
"CD79A",114.154723356194,1.95158063675526,0.624336478019304,3.12584752847793,0.00177293447740622,0.286151624653364,"nCounter"
"KSHV_ORF64",63.688578548783,-1.48851782429421,0.597351902784313,-2.49186085681839,0.0127075808719805,0.932274342153479,"nCounter"
"ISG15",29.3512912110736,-1.19340491860701,0.494222195275037,-2.41471332128835,0.0157475986330059,0.997339193362895,"nCounter"
"CD45RA",105.896972246464,0.993269720514338,0.476715065283113,2.083571073896,0.0371992004519821,0.999948353014247,"nCounter"
"IFI6",368.310136448533,-1.12654149664756,0.533462101449703,-2.11175544351913,0.034707430798386,0.999948353014247,"nCounter"
"KSHV_ORF45",65.4526782872692,-1.7931035472193,0.623893080052837,-2.87405583512393,0.00405237315169416,0.545044188902864,"nCounter"
"KSHV_K4",82.0846896616142,-1.93491549748726,0.719650784180812,-2.68868670752551,0.00717337078586699,0.729755092187211,"nCounter"
"STC1",535.05424705064,-2.00093099380911,0.606202289226466,-3.30076449622512,0.000964217809646989,0.226306064858612,"nCounter"
